,Sensirion T (deg C),Sensirion Vol. flow (ln/min)
2024-08-19 09:42:58.013122,24.36,5.579857497525541
2024-08-19 09:42:58.023122,24.44,5.692979893261253
2024-08-19 09:42:58.033122,24.49,5.690861496337363
2024-08-19 09:42:58.043122,24.43,5.705266595419815
2024-08-19 09:42:58.058350,24.43,5.696369328339477
2024-08-19 09:42:58.068350,24.465,5.699335084032922
2024-08-19 09:42:58.078350,24.48,5.696369328339477
2024-08-19 09:42:58.088350,24.46,5.697216687109034
2024-08-19 09:42:58.095474,24.49,5.698911404648145
2024-08-19 09:42:58.105474,24.555,5.69382725203081
2024-08-19 09:42:58.115474,24.48,5.697640366493811
2024-08-19 09:42:58.125474,24.515,5.694250931415588
2024-08-19 09:42:58.141485,24.605,5.695945648954699
2024-08-19 09:42:58.151158,24.54,5.700606122187257
2024-08-19 09:42:58.151485,24.54,5.6955219695699215
2024-08-19 09:42:58.161158,24.54,5.694674610800366
2024-08-19 09:42:58.171158,24.525,5.6955219695699215
2024-08-19 09:42:58.181158,24.62,5.698911404648145
2024-08-19 09:42:58.209572,24.535,5.701453480956812
2024-08-19 09:42:58.219572,24.525,5.700182442802479
2024-08-19 09:42:58.224747,24.585,5.706537633574149
2024-08-19 09:42:58.229572,24.56,5.697216687109034
2024-08-19 09:42:58.234747,24.54,5.699758763417701
2024-08-19 09:42:58.244747,24.66,5.707384992343703
2024-08-19 09:42:58.259830,24.53,5.701453480956812
2024-08-19 09:42:58.269830,24.595,5.701877160341591
2024-08-19 09:42:58.279830,24.63,5.698487725263367
2024-08-19 09:42:58.289364,24.58,5.708656030498038
2024-08-19 09:42:58.299364,24.62,5.702300839726369
2024-08-19 09:42:58.309364,24.595,5.699758763417701
2024-08-19 09:42:58.313055,24.61,5.703995557265481
2024-08-19 09:42:58.323055,24.62,5.69382725203081
2024-08-19 09:42:58.333055,24.585,5.707808671728482
2024-08-19 09:42:58.343055,24.62,5.703571877880703
2024-08-19 09:42:58.353055,24.615,5.6967930077242555
2024-08-19 09:42:58.363055,24.63,5.702300839726369
2024-08-19 09:42:58.378745,24.615,5.704419236650258
2024-08-19 09:42:58.388745,24.605,5.692556213876475
2024-08-19 09:42:58.400623,24.66,5.704419236650258
2024-08-19 09:42:58.410623,24.635,5.699758763417701
2024-08-19 09:42:58.420623,24.62,5.699758763417701
2024-08-19 09:42:58.421690,24.6,5.695098290185144
2024-08-19 09:42:58.431690,24.69,5.699758763417701
2024-08-19 09:42:58.441690,24.61,5.6967930077242555
2024-08-19 09:42:58.451690,24.65,5.699758763417701
2024-08-19 09:42:58.460949,24.625,5.6967930077242555
2024-08-19 09:42:58.470949,24.565,5.697640366493811
2024-08-19 09:42:58.480949,24.645,5.700606122187257
2024-08-19 09:42:58.495081,24.685,5.695098290185144
2024-08-19 09:42:58.505081,24.62,5.697640366493811
2024-08-19 09:42:58.515081,24.655,5.692132534491697
2024-08-19 09:42:58.518747,24.69,5.694674610800366
2024-08-19 09:42:58.528747,24.72,5.697216687109034
2024-08-19 09:42:58.538747,24.695,5.694250931415588
2024-08-19 09:42:58.548747,24.68,5.690437816952586
2024-08-19 09:42:58.563335,24.67,5.693403572646032
2024-08-19 09:42:58.573335,24.685,5.697216687109034
2024-08-19 09:42:58.583335,24.73,5.6887430994134744
2024-08-19 09:42:58.605334,24.645,5.702724519111147
2024-08-19 09:42:58.609183,24.72,5.6955219695699215
2024-08-19 09:42:58.615334,24.69,5.690437816952586
2024-08-19 09:42:58.619183,24.67,5.702300839726369
2024-08-19 09:42:58.629183,24.64,5.692979893261253
2024-08-19 09:42:58.639183,24.705,5.697640366493811
2024-08-19 09:42:58.657223,24.715,5.692979893261253
2024-08-19 09:42:58.667223,24.675,5.694674610800366
2024-08-19 09:42:58.672185,24.67,5.68959045818303
2024-08-19 09:42:58.682185,24.7,5.697216687109034
2024-08-19 09:42:58.692185,24.68,5.694250931415588
2024-08-19 09:42:58.702185,24.74,5.695098290185144
2024-08-19 09:42:58.711197,24.71,5.694674610800366
2024-08-19 09:42:58.721197,24.725,5.700606122187257
2024-08-19 09:42:58.731197,24.685,5.690014137567808
2024-08-19 09:42:58.738441,24.695,5.698487725263367
2024-08-19 09:42:58.748441,24.675,5.699335084032922
2024-08-19 09:42:58.758441,24.71,5.690437816952586
2024-08-19 09:42:58.768441,24.695,5.698487725263367
2024-08-19 09:42:58.778791,24.7,5.695945648954699
2024-08-19 09:42:58.788791,24.67,5.700182442802479
2024-08-19 09:42:58.802300,24.7,5.694674610800366
2024-08-19 09:42:58.812300,24.66,5.697216687109034
2024-08-19 09:42:58.822300,24.765,5.692979893261253
2024-08-19 09:42:58.836695,24.66,5.69382725203081
2024-08-19 09:42:58.846695,24.715,5.697640366493811
2024-08-19 09:42:58.856695,24.7,5.694250931415588
2024-08-19 09:42:58.865122,24.725,5.693403572646032
2024-08-19 09:42:58.875122,24.765,5.6955219695699215
2024-08-19 09:42:58.885122,24.67,5.68959045818303
2024-08-19 09:42:58.889264,24.75,5.687048381874363
2024-08-19 09:42:58.899264,24.635,5.6967930077242555
2024-08-19 09:42:58.909264,24.73,5.690437816952586
2024-08-19 09:42:58.919264,24.715,5.69382725203081
2024-08-19 09:42:58.931572,24.675,5.687895740643918
2024-08-19 09:42:58.941572,24.735,5.694674610800366
2024-08-19 09:42:58.951572,24.75,5.695945648954699
2024-08-19 09:42:58.967039,24.76,5.6912851757221405
2024-08-19 09:42:58.977039,24.785,5.698911404648145
2024-08-19 09:42:58.987039,24.725,5.693403572646032
2024-08-19 09:42:58.993432,24.68,5.692556213876475
2024-08-19 09:42:59.003432,24.735,5.698911404648145
2024-08-19 09:42:59.013432,24.72,5.701029801572035
2024-08-19 09:42:59.026869,24.745,5.692979893261253
2024-08-19 09:42:59.036869,24.72,5.695945648954699
2024-08-19 09:42:59.046869,24.795,5.692979893261253
2024-08-19 09:42:59.053172,24.725,5.6967930077242555
2024-08-19 09:42:59.063172,24.69,5.697640366493811
2024-08-19 09:42:59.073172,24.75,5.693403572646032
2024-08-19 09:42:59.084096,24.72,5.699758763417701
2024-08-19 09:42:59.094096,24.72,5.696369328339477
2024-08-19 09:42:59.104096,24.755,5.702724519111147
2024-08-19 09:42:59.104529,24.795,5.689166778798253
2024-08-19 09:42:59.114529,24.745,5.701453480956812
2024-08-19 09:42:59.124529,24.765,5.699335084032922
2024-08-19 09:42:59.134529,24.795,5.692132534491697
2024-08-19 09:42:59.148058,24.71,5.704419236650258
2024-08-19 09:42:59.158058,24.755,5.701029801572035
2024-08-19 09:42:59.168058,24.68,5.700182442802479
2024-08-19 09:42:59.182508,24.805,5.699758763417701
2024-08-19 09:42:59.192508,24.75,5.701453480956812
2024-08-19 09:42:59.202508,24.79,5.701453480956812
2024-08-19 09:42:59.208912,24.765,5.705690274804592
2024-08-19 09:42:59.218912,24.82,5.701453480956812
2024-08-19 09:42:59.228912,24.775,5.703148198495925
2024-08-19 09:42:59.238912,24.775,5.702300839726369
2024-08-19 09:42:59.246442,24.84,5.698911404648145
2024-08-19 09:42:59.256442,24.75,5.703995557265481
2024-08-19 09:42:59.266442,24.73,5.701877160341591
2024-08-19 09:42:59.273462,24.765,5.698064045878589
2024-08-19 09:42:59.283462,24.765,5.6967930077242555
2024-08-19 09:42:59.293462,24.775,5.706961312958926
2024-08-19 09:42:59.310283,24.825,5.698064045878589
2024-08-19 09:42:59.320283,24.775,5.701453480956812
2024-08-19 09:42:59.330283,24.71,5.700606122187257
2024-08-19 09:42:59.336278,24.66,5.703571877880703
2024-08-19 09:42:59.346278,24.76,5.701877160341591
2024-08-19 09:42:59.356278,24.75,5.707808671728482
2024-08-19 09:42:59.364388,24.805,5.703571877880703
2024-08-19 09:42:59.374388,24.765,5.694250931415588
2024-08-19 09:42:59.384388,24.765,5.707808671728482
2024-08-19 09:42:59.399677,24.755,5.704419236650258
2024-08-19 09:42:59.409677,24.845,5.7048429160350365
2024-08-19 09:42:59.419677,24.755,5.703148198495925
2024-08-19 09:42:59.426727,24.775,5.701877160341591
2024-08-19 09:42:59.436727,24.745,5.703571877880703
2024-08-19 09:42:59.446727,24.78,5.701029801572035
2024-08-19 09:42:59.456727,24.815,5.698487725263367
2024-08-19 09:42:59.469913,24.73,5.704419236650258
2024-08-19 09:42:59.479913,24.77,5.698911404648145
2024-08-19 09:42:59.488156,24.845,5.699758763417701
2024-08-19 09:42:59.498156,24.72,5.697640366493811
2024-08-19 09:42:59.508156,24.775,5.704419236650258
2024-08-19 09:42:59.518156,24.775,5.703571877880703
2024-08-19 09:42:59.526788,24.785,5.704419236650258
2024-08-19 09:42:59.536788,24.72,5.703148198495925
2024-08-19 09:42:59.546788,24.67,5.699758763417701
2024-08-19 09:42:59.558831,24.78,5.70611395418937
2024-08-19 09:42:59.568831,24.745,5.698911404648145
2024-08-19 09:42:59.578831,24.765,5.703571877880703
2024-08-19 09:42:59.584312,24.8,5.695945648954699
2024-08-19 09:42:59.594312,24.79,5.697640366493811
2024-08-19 09:42:59.604312,24.78,5.69382725203081
2024-08-19 09:42:59.614312,24.81,5.698487725263367
2024-08-19 09:42:59.625895,24.825,5.703148198495925
2024-08-19 09:42:59.635895,24.785,5.701453480956812
2024-08-19 09:42:59.645895,24.795,5.701029801572035
2024-08-19 09:42:59.656904,24.775,5.692132534491697
2024-08-19 09:42:59.666904,24.815,5.699335084032922
2024-08-19 09:42:59.672203,24.775,5.690861496337363
2024-08-19 09:42:59.682203,24.77,5.697216687109034
2024-08-19 09:42:59.692203,24.865,5.695945648954699
2024-08-19 09:42:59.702203,24.8,5.693403572646032
2024-08-19 09:42:59.718010,24.795,5.68959045818303
2024-08-19 09:42:59.728010,24.795,5.695098290185144
2024-08-19 09:42:59.738010,24.75,5.690014137567808
2024-08-19 09:42:59.742707,24.83,5.699758763417701
2024-08-19 09:42:59.752707,24.765,5.701877160341591
2024-08-19 09:42:59.762707,24.83,5.695945648954699
2024-08-19 09:42:59.776360,24.86,5.703148198495925
2024-08-19 09:42:59.786360,24.795,5.699335084032922
2024-08-19 09:42:59.796360,24.805,5.699335084032922
2024-08-19 09:42:59.806360,24.815,5.705266595419815
2024-08-19 09:42:59.821923,24.765,5.706961312958926
2024-08-19 09:42:59.831659,24.8,5.705690274804592
2024-08-19 09:42:59.831923,24.8,5.698911404648145
2024-08-19 09:42:59.841659,24.845,5.706961312958926
2024-08-19 09:42:59.851659,24.835,5.696369328339477
2024-08-19 09:42:59.861659,24.775,5.700182442802479
2024-08-19 09:42:59.870198,24.82,5.70611395418937
2024-08-19 09:42:59.880198,24.805,5.700606122187257
2024-08-19 09:42:59.890198,24.805,5.698911404648145
2024-08-19 09:42:59.900705,24.785,5.7048429160350365
2024-08-19 09:42:59.910705,24.805,5.703995557265481
2024-08-19 09:42:59.920705,24.745,5.699758763417701
2024-08-19 09:42:59.932181,24.845,5.701877160341591
2024-08-19 09:42:59.942181,24.815,5.703571877880703
2024-08-19 09:42:59.952181,24.825,5.695945648954699
2024-08-19 09:42:59.965909,24.83,5.70611395418937
2024-08-19 09:42:59.975909,24.805,5.703571877880703
2024-08-19 09:42:59.985909,24.915,5.705266595419815
2024-08-19 09:42:59.989639,24.845,5.7048429160350365
2024-08-19 09:42:59.999639,24.79,5.703148198495925
2024-08-19 09:43:00.009639,24.755,5.703571877880703
2024-08-19 09:43:00.019639,24.835,5.703995557265481
2024-08-19 09:43:00.031640,24.765,5.697216687109034
2024-08-19 09:43:00.041640,24.88,5.700182442802479
2024-08-19 09:43:00.056036,24.885,5.697640366493811
2024-08-19 09:43:00.066036,24.785,5.701453480956812
2024-08-19 09:43:00.076036,24.865,5.695945648954699
2024-08-19 09:43:00.080491,24.805,5.700606122187257
