AutoRange,On
Start Time,2024-08-23 13:20:02.205890
Firmware Version,K-01.07.03-01.00-01.10-01.05
ResolutionEnum,SLOW
Serial Number,CN63230064
Stop Time,2024-08-23 16:19:47.024456
Model,EDU34450A
TriggerSource,Immediate
AutoImpedance,10 MΩ
Address,USB0::0x2A8D::0x8E01::CN63230064::0::INSTR
TriggerDelay,0.0
Range(VDC),0.1
Sample Count,11887

Time Stamp(s),Records,DC Voltage(VDC),
2024-08-23 13:20:02.205890,1,-0.067642633,
2024-08-23 13:20:03.064521,2,-0.0674163355,
2024-08-23 13:20:03.927456,3,-0.0678026301,
2024-08-23 13:20:04.785831,4,-0.0678931537,
2024-08-23 13:20:05.644872,5,-0.0677807087,
2024-08-23 13:20:06.501116,6,-0.0677589489,
2024-08-23 13:20:07.364752,7,-0.0677584908,
2024-08-23 13:20:08.360896,8,-0.0677714793,
2024-08-23 13:20:09.346528,9,-0.0677101573,
2024-08-23 13:20:10.328326,10,-0.0676471735,
2024-08-23 13:20:11.302739,11,-0.0676409966,
2024-08-23 13:20:12.284584,12,-0.0675605505,
2024-08-23 13:20:13.184857,13,-0.0672934058,
2024-08-23 13:20:14.045726,14,-0.0681593359,
2024-08-23 13:20:14.919492,15,-0.068015792,
2024-08-23 13:20:15.766747,16,-0.0677724872,
2024-08-23 13:20:16.625989,17,-0.0677890129,
2024-08-23 13:20:17.484630,18,-0.0678009698,
2024-08-23 13:20:18.342946,19,-0.0677849923,
2024-08-23 13:20:19.203019,20,-0.0678265034,
2024-08-23 13:20:20.065166,21,-0.0677963545,
2024-08-23 13:20:20.926296,22,-0.0678122136,
2024-08-23 13:20:21.907478,23,-0.0677873469,
2024-08-23 13:20:22.879282,24,-0.067764247,
2024-08-23 13:20:23.848097,25,-0.0677936397,
2024-08-23 13:20:24.823713,26,-0.0677815264,
2024-08-23 13:20:25.801642,27,-0.0677663921,
2024-08-23 13:20:26.706160,28,-0.0677150535,
2024-08-23 13:20:27.567009,29,-0.0677744664,
2024-08-23 13:20:28.424546,30,-0.0677834481,
2024-08-23 13:20:29.284923,31,-0.0676243346,
2024-08-23 13:20:30.194482,32,-0.0677134111,
2024-08-23 13:20:31.060119,33,-0.0678878952,
2024-08-23 13:20:31.905864,34,-0.0684094729,
2024-08-23 13:20:32.764871,35,-0.0682692156,
2024-08-23 13:20:33.624571,36,-0.0679100787,
2024-08-23 13:20:34.480049,37,-0.0675167308,
2024-08-23 13:20:35.447221,38,-0.0677347529,
2024-08-23 13:20:36.423466,39,-0.0677666693,
2024-08-23 13:20:37.403140,40,-0.0677944357,
2024-08-23 13:20:38.381353,41,-0.0677845511,
2024-08-23 13:20:39.362583,42,-0.0677589966,
2024-08-23 13:20:40.287698,43,-0.0677152034,
2024-08-23 13:20:41.142333,44,-0.0677132712,
2024-08-23 13:20:42.004882,45,-0.0676931945,
2024-08-23 13:20:42.863238,46,-0.067803073,
2024-08-23 13:20:43.722681,47,-0.0677582215,
2024-08-23 13:20:44.580095,48,-0.0676177109,
2024-08-23 13:20:45.445712,49,-0.067681885,
2024-08-23 13:20:46.305332,50,-0.0676718364,
2024-08-23 13:20:47.171683,51,-0.0676751674,
2024-08-23 13:20:48.026500,52,-0.0678415489,
2024-08-23 13:20:48.962375,53,-0.0676843361,
2024-08-23 13:20:49.937542,54,-0.0680391946,
2024-08-23 13:20:50.905519,55,-0.068262032,
2024-08-23 13:20:51.878030,56,-0.06800785,
2024-08-23 13:20:52.856573,57,-0.0679708495,
2024-08-23 13:20:53.803675,58,-0.0679724584,
2024-08-23 13:20:54.662805,59,-0.0680250677,
2024-08-23 13:20:55.520617,60,-0.0679765926,
2024-08-23 13:20:56.378556,61,-0.0679886727,
2024-08-23 13:20:57.250057,62,-0.0679620869,
2024-08-23 13:20:58.103933,63,-0.0679705313,
2024-08-23 13:20:58.961180,64,-0.0679307869,
2024-08-23 13:20:59.822410,65,-0.068007142,
2024-08-23 13:21:00.677115,66,-0.0679516183,
2024-08-23 13:21:01.537573,67,-0.0679380353,
2024-08-23 13:21:02.460691,68,-0.0678570309,
2024-08-23 13:21:03.435867,69,-0.0678991623,
2024-08-23 13:21:04.421746,70,-0.0679022412,
2024-08-23 13:21:05.402422,71,-0.0678661968,
2024-08-23 13:21:06.382493,72,-0.0678704833,
2024-08-23 13:21:07.343230,73,-0.0678549585,
2024-08-23 13:21:08.199657,74,-0.0678528331,
2024-08-23 13:21:09.058439,75,-0.0677719866,
2024-08-23 13:21:09.920575,76,-0.0678076833,
2024-08-23 13:21:10.778078,77,-0.0677130683,
2024-08-23 13:21:11.643290,78,-0.0676634531,
2024-08-23 13:21:12.499389,79,-0.0676281455,
2024-08-23 13:21:13.358946,80,-0.0681323098,
2024-08-23 13:21:14.229638,81,-0.0682145165,
2024-08-23 13:21:15.080825,82,-0.0680613119,
2024-08-23 13:21:15.996211,83,-0.0680024354,
2024-08-23 13:21:16.976990,84,-0.0679629107,
2024-08-23 13:21:17.960158,85,-0.0679479137,
2024-08-23 13:21:18.937055,86,-0.0679858454,
2024-08-23 13:21:19.924914,87,-0.0679673373,
2024-08-23 13:21:20.880363,88,-0.0679847756,
2024-08-23 13:21:21.741567,89,-0.0679704991,
2024-08-23 13:21:22.596447,90,-0.0679757164,
2024-08-23 13:21:23.461006,91,-0.0679794944,
2024-08-23 13:21:24.316067,92,-0.0679993603,
2024-08-23 13:21:25.176958,93,-0.0680019943,
2024-08-23 13:21:26.041623,94,-0.0680150625,
2024-08-23 13:21:26.899828,95,-0.0679814062,
2024-08-23 13:21:27.759030,96,-0.0680037645,
2024-08-23 13:21:28.614904,97,-0.0680282333,
2024-08-23 13:21:29.525970,98,-0.0680185012,
2024-08-23 13:21:30.499567,99,-0.0680174901,
2024-08-23 13:21:31.474600,100,-0.0680450008,
2024-08-23 13:21:32.457561,101,-0.0680375255,
2024-08-23 13:21:33.439387,102,-0.0680163265,
2024-08-23 13:21:34.414772,103,-0.068027994,
2024-08-23 13:21:35.277095,104,-0.0680481389,
2024-08-23 13:21:36.132738,105,-0.0680192663,
2024-08-23 13:21:36.997790,106,-0.0680597858,
2024-08-23 13:21:37.857783,107,-0.0680394923,
2024-08-23 13:21:38.715092,108,-0.0680559,
2024-08-23 13:21:39.573370,109,-0.0680269836,
2024-08-23 13:21:40.439565,110,-0.0680200788,
2024-08-23 13:21:41.296124,111,-0.068067461,
2024-08-23 13:21:42.156471,112,-0.068039004,
2024-08-23 13:21:43.038480,113,-0.0680410989,
2024-08-23 13:21:44.013763,114,-0.06804031,
2024-08-23 13:21:44.997496,115,-0.0680120779,
2024-08-23 13:21:45.981226,116,-0.068005885,
2024-08-23 13:21:46.957813,117,-0.0680366272,
2024-08-23 13:21:47.938755,118,-0.0679575274,
2024-08-23 13:21:48.815899,119,-0.067998936,
2024-08-23 13:21:49.675714,120,-0.0680100055,
2024-08-23 13:21:50.537300,121,-0.0680109842,
2024-08-23 13:21:51.397997,122,-0.0680016122,
2024-08-23 13:21:52.257269,123,-0.0680010622,
2024-08-23 13:21:53.110936,124,-0.0679888031,
2024-08-23 13:21:53.972212,125,-0.0680079567,
2024-08-23 13:21:54.842122,126,-0.0680146141,
2024-08-23 13:21:55.691849,127,-0.0679870915,
2024-08-23 13:21:56.554624,128,-0.0680046976,
2024-08-23 13:21:57.536813,129,-0.0680430848,
2024-08-23 13:21:58.513640,130,-0.0679902374,
2024-08-23 13:21:59.497153,131,-0.0679945879,
2024-08-23 13:22:00.477674,132,-0.0679966741,
2024-08-23 13:22:01.456871,133,-0.0679602759,
2024-08-23 13:22:02.355292,134,-0.0679715125,
2024-08-23 13:22:03.211460,135,-0.0680158433,
2024-08-23 13:22:04.076912,136,-0.0679749295,
2024-08-23 13:22:04.936307,137,-0.0679538369,
2024-08-23 13:22:05.794070,138,-0.0679124271,
2024-08-23 13:22:06.650742,139,-0.0678510227,
2024-08-23 13:22:07.512739,140,-0.06779391,
2024-08-23 13:22:08.371350,141,-0.0684951823,
2024-08-23 13:22:09.235085,142,-0.0683023445,
2024-08-23 13:22:10.094010,143,-0.0682288775,
2024-08-23 13:22:11.076546,144,-0.068235203,
2024-08-23 13:22:12.054911,145,-0.0681928463,
2024-08-23 13:22:13.033998,146,-0.0682029413,
2024-08-23 13:22:14.013063,147,-0.0681725042,
2024-08-23 13:22:14.991226,148,-0.0682017918,
2024-08-23 13:22:15.909414,149,-0.068200802,
2024-08-23 13:22:16.779994,150,-0.0681694444,
