TimeStamp,123M04971901FD: Flow (ln/min),123M04971901FD: Pressure outlet (bar(a)),123M04971901FD: Temperature (°C),123M05180215PI: Flow (ln/min),123M05180215PI: Pressure outlet (bar(a)),123M05180215PI: Temperature (°C)
2024-08-15 14:59:50.217,,,,0,,
2024-08-15 14:59:50.218,0,,,,,
2024-08-15 14:59:50.273,0,0.9949045,23.635939,,,
2024-08-15 14:59:50.280,,,,0,0.9970037,25.303125
2024-08-15 14:59:50.336,0,0.99490637,23.648438,,,
2024-08-15 14:59:50.345,,,,0,0.99700326,25.300001
2024-08-15 14:59:50.397,,,,0,0.9970065,25.295313
2024-08-15 14:59:50.399,0,0.9949032,23.642189,,,
2024-08-15 14:59:50.450,,,,0,0.99700624,25.296875
2024-08-15 14:59:50.453,0,0.99490273,23.640625,,,
2024-08-15 14:59:50.521,0,0.9949015,23.645313,,,
2024-08-15 14:59:50.529,,,,0,0.9970058,25.300001
2024-08-15 14:59:50.572,0,0.99490565,23.639063,,,
2024-08-15 14:59:50.580,,,,0,0.99700934,25.300001
2024-08-15 14:59:50.623,0,0.99490815,23.639063,,,
2024-08-15 14:59:50.630,,,,0,0.99701226,25.304688
2024-08-15 14:59:50.680,0,0.9949051,23.640625,,,
2024-08-15 14:59:50.690,,,,0,0.99701905,25.301563
2024-08-15 14:59:50.742,0,0.9949028,23.640625,,,
2024-08-15 14:59:50.750,,,,0,0.9970239,25.300001
2024-08-15 14:59:50.811,,,,0,0.99702656,25.303125
2024-08-15 14:59:50.813,0,0.99490935,23.639063,,,
2024-08-15 14:59:50.869,0,0.9949109,23.639063,,,
2024-08-15 14:59:50.879,,,,0,0.9970253,25.298439
2024-08-15 14:59:50.929,0,0.9949071,23.642189,,,
2024-08-15 14:59:50.939,,,,0,0.9970212,25.300001
2024-08-15 14:59:50.997,,,,0,0.99701965,25.300001
2024-08-15 14:59:50.999,0,0.9949007,23.640625,,,
2024-08-15 14:59:51.054,0,0.99490637,23.6375,,,
2024-08-15 14:59:51.064,,,,0,0.9970242,25.300001
2024-08-15 14:59:51.121,,,,0,0.9970237,25.296875
2024-08-15 14:59:51.126,0,0.99490976,23.646875,,,
2024-08-15 14:59:51.184,,,,0,0.9970256,25.298439
2024-08-15 14:59:51.188,0,0.9949033,23.645313,,,
2024-08-15 14:59:51.247,,,,0,0.9970251,25.300001
2024-08-15 14:59:51.248,0,0.994907,23.643751,,,
2024-08-15 14:59:51.301,0,0.99490386,23.640625,,,
2024-08-15 14:59:51.312,,,,0,0.9970246,25.301563
2024-08-15 14:59:51.369,0,0.9949038,23.639063,,,
2024-08-15 14:59:51.377,,,,0,0.9970214,25.300001
2024-08-15 14:59:51.431,,,,0,0.9970202,25.300001
2024-08-15 14:59:51.432,0,0.994905,23.642189,,,
2024-08-15 14:59:51.492,0,0.9949043,23.642189,,,
2024-08-15 14:59:51.499,,,,0,0.99702346,25.301563
2024-08-15 14:59:51.552,0,0.99490863,23.642189,,,
2024-08-15 14:59:51.561,,,,0,0.99702495,25.295313
2024-08-15 14:59:51.619,,,,0,0.9970268,25.296875
2024-08-15 14:59:51.621,0,0.9949104,23.642189,,,
2024-08-15 14:59:51.683,,,,0,0.99702895,25.298439
2024-08-15 14:59:51.687,0,0.9949126,23.648438,,,
2024-08-15 14:59:51.748,,,,0,0.99703324,25.298439
2024-08-15 14:59:51.750,0,0.9949176,23.645313,,,
2024-08-15 14:59:51.801,0,0.99491364,23.635939,,,
2024-08-15 14:59:51.810,,,,0,0.9970337,25.296875
2024-08-15 14:59:51.865,0,0.9949181,23.645313,,,
2024-08-15 14:59:51.873,,,,0,0.9970345,25.296875
2024-08-15 14:59:51.928,0,0.9949121,23.643751,,,
2024-08-15 14:59:51.936,,,,0,0.9970413,25.298439
2024-08-15 14:59:51.999,,,,0,0.99704355,25.295313
2024-08-15 14:59:52.001,0,0.99491286,23.640625,,,
2024-08-15 14:59:52.058,,,,0,0.997041,25.301563
2024-08-15 14:59:52.060,0,0.9949127,23.640625,,,
2024-08-15 14:59:52.120,,,,0,0.9970457,25.306252
2024-08-15 14:59:52.121,0,0.9949131,23.645313,,,
2024-08-15 14:59:52.182,,,,0,0.99704754,25.296875
2024-08-15 14:59:52.184,0,0.9949118,23.643751,,,
2024-08-15 14:59:52.241,0,0.99490905,23.6375,,,
2024-08-15 14:59:52.249,,,,0,0.9970559,25.300001
2024-08-15 14:59:52.303,0,0.99491286,23.635939,,,
2024-08-15 14:59:52.313,,,,0,0.9970556,25.303125
2024-08-15 14:59:52.376,,,,0,0.9970569,25.296875
2024-08-15 14:59:52.378,0,0.99490666,23.648438,,,
2024-08-15 14:59:52.430,,,,0,0.99705446,25.296875
2024-08-15 14:59:52.432,0,0.99491054,23.642189,,,
2024-08-15 14:59:52.497,0,0.99490815,23.639063,,,
2024-08-15 14:59:52.507,,,,0,0.9970473,25.29375
2024-08-15 14:59:52.552,0,0.99490535,23.642189,,,
2024-08-15 14:59:52.561,,,,0,0.99704695,25.300001
2024-08-15 14:59:52.618,,,,0,0.997046,25.29375
2024-08-15 14:59:52.623,0,0.9949094,23.639063,,,
2024-08-15 14:59:52.679,0,0.99490786,23.640625,,,
2024-08-15 14:59:52.686,,,,0,0.997046,25.304688
2024-08-15 14:59:52.742,,,,0,0.9970439,25.300001
2024-08-15 14:59:52.744,0,0.99490887,23.642189,,,
2024-08-15 14:59:52.800,0,0.99490607,23.635939,,,
2024-08-15 14:59:52.807,,,,0,0.9970405,25.301563
2024-08-15 14:59:52.870,,,,0,0.997036,25.300001
2024-08-15 14:59:52.872,0,0.9949076,23.643751,,,
2024-08-15 14:59:52.925,0,0.9949066,23.6375,,,
2024-08-15 14:59:52.933,,,,0,0.99703753,25.298439
2024-08-15 14:59:52.994,,,,0,0.99703544,25.300001
2024-08-15 14:59:52.997,0,0.99491125,23.645313,,,
2024-08-15 14:59:53.051,0,0.9949158,23.642189,,,
2024-08-15 14:59:53.060,,,,0,0.9970367,25.300001
2024-08-15 14:59:53.117,,,,0,0.9970381,25.300001
2024-08-15 14:59:53.121,0,0.99491864,23.645313,,,
2024-08-15 14:59:53.175,0,0.9949139,23.640625,,,
2024-08-15 14:59:53.183,,,,0,0.99703777,25.296875
2024-08-15 14:59:53.240,,,,0,0.99703825,25.304688
2024-08-15 14:59:53.242,0,0.9949178,23.640625,,,
2024-08-15 14:59:53.298,0,0.99491566,23.643751,,,
2024-08-15 14:59:53.304,,,,0,0.997038,25.296875
2024-08-15 14:59:53.366,,,,0,0.9970365,25.301563
2024-08-15 14:59:53.368,0,0.99491286,23.639063,,,
2024-08-15 14:59:53.427,,,,0,0.997033,25.296875
2024-08-15 14:59:53.428,0,0.9949158,23.642189,,,
2024-08-15 14:59:53.491,,,,0,0.9970332,25.301563
2024-08-15 14:59:53.493,0,0.994922,23.639063,,,
2024-08-15 14:59:53.557,0,0.9949209,23.635939,,,
2024-08-15 14:59:53.560,,,,0,0.997033,25.296875
2024-08-15 14:59:53.611,0,0.9949209,23.648438,,,
2024-08-15 14:59:53.617,,,,0,0.997035,25.300001
2024-08-15 14:59:53.673,0,0.99491817,23.642189,,,
2024-08-15 14:59:53.683,,,,0,0.9970288,25.301563
2024-08-15 14:59:53.740,,,,0,0.9970269,25.295313
2024-08-15 14:59:53.742,0,0.9949177,23.640625,,,
