Datetime,Temp(degC),Humidity(rH)
2024-08-15 14:59:33,22.75,68.39
2024-08-15 14:59:35,22.75,68.27
2024-08-15 14:59:38,22.77,68.26
2024-08-15 14:59:40,22.78,68.25
2024-08-15 14:59:42,22.76,68.26
2024-08-15 14:59:44,22.75,68.18
2024-08-15 14:59:46,22.77,68.20
2024-08-15 14:59:48,22.76,68.17
2024-08-15 14:59:50,22.75,68.17
2024-08-15 14:59:52,22.77,68.16
2024-08-15 14:59:54,22.77,68.16
2024-08-15 14:59:56,22.76,66.81
2024-08-15 14:59:58,22.74,59.52
2024-08-15 15:00:00,22.71,51.08
2024-08-15 15:00:02,22.69,43.93
2024-08-15 15:00:04,22.67,38.02
2024-08-15 15:00:06,22.65,33.85
2024-08-15 15:00:08,22.64,30.58
2024-08-15 15:00:10,22.64,28.17
2024-08-15 15:00:13,22.63,26.34
2024-08-15 15:00:15,22.63,24.85
2024-08-15 15:00:17,22.62,23.57
2024-08-15 15:00:19,22.62,22.14
2024-08-15 15:00:21,22.59,20.73
2024-08-15 15:00:23,22.59,19.73
2024-08-15 15:00:25,22.61,18.96
2024-08-15 15:00:27,22.59,18.38
2024-08-15 15:00:29,22.60,17.87
2024-08-15 15:00:31,22.61,17.47
2024-08-15 15:00:33,22.61,17.00
2024-08-15 15:00:35,22.61,16.52
2024-08-15 15:00:37,22.60,16.09
2024-08-15 15:00:39,22.60,15.71
2024-08-15 15:00:41,22.60,15.42
2024-08-15 15:00:43,22.61,15.19
2024-08-15 15:00:45,22.61,14.99
2024-08-15 15:00:48,22.61,14.81
2024-08-15 15:00:50,22.60,14.54
2024-08-15 15:00:52,22.61,14.32
2024-08-15 15:00:54,22.61,14.13
2024-08-15 15:00:56,22.60,13.97
2024-08-15 15:00:58,22.60,13.86
2024-08-15 15:01:00,22.61,13.74
2024-08-15 15:01:02,22.60,13.61
2024-08-15 15:01:04,22.62,13.63
2024-08-15 15:01:06,22.63,13.86
2024-08-15 15:01:08,22.60,14.14
2024-08-15 15:01:10,22.60,14.34
2024-08-15 15:01:12,22.60,14.52
