Datetime,Temp (deg C),Humidity (%rH)
2024-08-23 13:15:55,22.86,37.23
2024-08-23 13:15:57,22.85,37.10
2024-08-23 13:15:59,22.87,37.16
2024-08-23 13:16:02,22.85,37.11
2024-08-23 13:16:04,22.86,37.13
2024-08-23 13:16:06,22.86,37.14
2024-08-23 13:16:08,22.85,37.15
2024-08-23 13:16:10,22.86,37.13
2024-08-23 13:16:12,22.85,37.14
2024-08-23 13:16:14,22.87,37.15
2024-08-23 13:16:16,22.85,37.15
2024-08-23 13:16:18,22.86,37.14
2024-08-23 13:16:20,22.86,37.12
2024-08-23 13:16:22,22.86,37.16
2024-08-23 13:16:24,22.86,37.13
2024-08-23 13:16:26,22.85,37.15
2024-08-23 13:16:28,22.88,37.13
2024-08-23 13:16:30,22.86,37.15
2024-08-23 13:16:32,22.85,37.12
2024-08-23 13:16:34,22.87,37.14
2024-08-23 13:16:37,22.86,37.14
2024-08-23 13:16:39,22.87,37.15
2024-08-23 13:16:41,22.87,37.19
2024-08-23 13:16:43,22.87,35.66
2024-08-23 13:16:45,22.85,32.17
2024-08-23 13:16:47,22.84,28.29
2024-08-23 13:16:49,22.85,25.56
2024-08-23 13:16:51,22.85,23.96
2024-08-23 13:16:53,22.83,23.25
2024-08-23 13:16:55,22.84,22.89
2024-08-23 13:16:57,22.83,22.73
2024-08-23 13:16:59,22.82,22.61
2024-08-23 13:17:01,22.83,22.56
2024-08-23 13:17:03,22.84,22.55
2024-08-23 13:17:05,22.84,22.55
2024-08-23 13:17:07,22.84,22.55
2024-08-23 13:17:09,22.84,22.61
2024-08-23 13:17:12,22.82,22.67
2024-08-23 13:17:14,22.82,22.77
2024-08-23 13:17:16,22.84,22.84
2024-08-23 13:17:18,22.83,22.95
2024-08-23 13:17:20,22.83,23.04
2024-08-23 13:17:22,22.82,23.12
2024-08-23 13:17:24,22.83,23.24
2024-08-23 13:17:26,22.81,23.34
2024-08-23 13:17:28,22.84,23.42
2024-08-23 13:17:30,22.83,23.53
2024-08-23 13:17:32,22.84,23.60
2024-08-23 13:17:34,22.83,23.68
2024-08-23 13:17:36,22.83,23.81
2024-08-23 13:17:38,22.84,23.89
2024-08-23 13:17:40,22.83,24.00
2024-08-23 13:17:42,22.83,24.04
2024-08-23 13:17:44,22.84,23.97
2024-08-23 13:17:46,22.82,22.46
2024-08-23 13:17:49,22.83,21.00
2024-08-23 13:17:51,22.82,19.76
2024-08-23 13:17:53,22.83,18.76
2024-08-23 13:17:55,22.83,18.04
2024-08-23 13:17:57,22.83,17.40
2024-08-23 13:17:59,22.82,16.97
2024-08-23 13:18:01,22.83,16.63
2024-08-23 13:18:03,22.83,16.37
2024-08-23 13:18:05,22.84,16.09
2024-08-23 13:18:07,22.81,15.83
2024-08-23 13:18:09,22.84,15.73
2024-08-23 13:18:11,22.83,15.56
2024-08-23 13:18:13,22.81,15.42
2024-08-23 13:18:15,22.83,15.24
2024-08-23 13:18:17,22.82,15.14
2024-08-23 13:18:19,22.83,15.03
2024-08-23 13:18:21,22.81,14.96
2024-08-23 13:18:24,22.82,14.84
2024-08-23 13:18:26,22.82,14.81
2024-08-23 13:18:28,22.82,14.72
2024-08-23 13:18:30,22.82,14.64
2024-08-23 13:18:32,22.81,14.56
2024-08-23 13:18:34,22.80,14.52
2024-08-23 13:18:36,22.81,14.45
2024-08-23 13:18:38,22.82,14.35
2024-08-23 13:18:40,22.81,14.32
2024-08-23 13:18:42,22.83,14.29
2024-08-23 13:18:44,22.81,14.22
2024-08-23 13:18:46,22.82,14.17
2024-08-23 13:18:48,22.80,14.15
2024-08-23 13:18:50,22.82,14.08
2024-08-23 13:18:52,22.83,14.03
2024-08-23 13:18:54,22.82,13.97
2024-08-23 13:18:56,22.82,13.95
2024-08-23 13:18:58,22.81,13.87
2024-08-23 13:19:01,22.80,13.82
2024-08-23 13:19:03,22.84,13.82
2024-08-23 13:19:05,22.82,13.80
2024-08-23 13:19:07,22.81,13.75
2024-08-23 13:19:09,22.83,13.73
2024-08-23 13:19:11,22.82,13.67
2024-08-23 13:19:13,22.82,13.67
2024-08-23 13:19:15,22.82,13.61
2024-08-23 13:19:17,22.81,13.61
2024-08-23 13:19:19,22.83,13.58
2024-08-23 13:19:21,22.81,13.53
2024-08-23 13:19:23,22.83,13.49
2024-08-23 13:19:25,22.82,13.46
2024-08-23 13:19:27,22.83,13.42
2024-08-23 13:19:29,22.83,13.40
2024-08-23 13:19:31,22.83,13.36
2024-08-23 13:19:33,22.82,13.33
2024-08-23 13:19:36,22.82,13.34
2024-08-23 13:19:38,22.81,13.34
2024-08-23 13:19:40,22.83,13.28
2024-08-23 13:19:42,22.82,13.23
2024-08-23 13:19:44,22.82,13.22
2024-08-23 13:19:46,22.81,13.19
2024-08-23 13:19:48,22.81,13.21
2024-08-23 13:19:50,22.82,13.17
2024-08-23 13:19:52,22.82,13.17
2024-08-23 13:19:54,22.84,13.14
2024-08-23 13:19:56,22.84,13.12
2024-08-23 13:19:58,22.84,13.09
2024-08-23 13:20:00,22.84,13.03
2024-08-23 13:20:02,22.81,13.02
2024-08-23 13:20:04,22.84,13.03
2024-08-23 13:20:06,22.84,13.03
2024-08-23 13:20:08,22.83,13.02
2024-08-23 13:20:11,22.84,13.00
2024-08-23 13:20:13,22.83,12.97
2024-08-23 13:20:15,22.82,12.96
2024-08-23 13:20:17,22.83,12.95
2024-08-23 13:20:19,22.85,12.94
2024-08-23 13:20:21,22.85,12.96
2024-08-23 13:20:23,22.85,12.90
2024-08-23 13:20:25,22.83,12.92
2024-08-23 13:20:27,22.83,12.89
2024-08-23 13:20:29,22.83,12.89
2024-08-23 13:20:31,22.83,12.86
2024-08-23 13:20:33,22.83,12.82
2024-08-23 13:20:35,22.85,12.81
2024-08-23 13:20:37,22.84,12.78
2024-08-23 13:20:39,22.84,12.76
2024-08-23 13:20:41,22.82,12.77
2024-08-23 13:20:43,22.83,12.76
2024-08-23 13:20:45,22.85,12.75
2024-08-23 13:20:48,22.85,12.75
2024-08-23 13:20:50,22.85,12.75
2024-08-23 13:20:52,22.82,12.74
2024-08-23 13:20:54,22.84,12.70
2024-08-23 13:20:56,22.85,12.69
2024-08-23 13:20:58,22.85,12.70
2024-08-23 13:21:00,22.87,12.67
2024-08-23 13:21:02,22.84,12.68
2024-08-23 13:21:04,22.85,12.67
2024-08-23 13:21:06,22.84,12.66
2024-08-23 13:21:08,22.86,12.65
