UNIX Timestamp,Local Time,Pressure (Pa),Flow (lph),Gas Consumption (l),Temperature (°C),Battery Voltage (V),Battery Current (A),Solar Voltage (V),RSSI (dB)
1723544700,2024-08-13 12:25:00+0200,1187.0,454.0,5852.0,25.082,4.198,0.018,9.205,-73.0
1723544640,2024-08-13 12:24:00+0200,1187.0,453.0,,,,,,
1723544580,2024-08-13 12:23:00+0200,1187.0,453.0,,,,,,
1723544520,2024-08-13 12:22:00+0200,1187.0,453.0,,,,,,
1723544460,2024-08-13 12:21:00+0200,1187.0,453.0,,,,,,
1723544400,2024-08-13 12:20:00+0200,752.0,329.0,5815.0,25.082,4.197,0.017,9.207,-73.0
1723544340,2024-08-13 12:19:00+0200,752.0,329.0,,,,,,
1723544280,2024-08-13 12:18:00+0200,926.0,379.0,,,,,,
1723544220,2024-08-13 12:17:00+0200,1187.0,454.0,,,,,,
1723544160,2024-08-13 12:16:00+0200,1187.0,454.0,,,,,,
1723544100,2024-08-13 12:15:00+0200,675.0,302.0,5782.0,25.082,4.198,0.022,9.205,-73.0
1723544040,2024-08-13 12:14:00+0200,752.0,329.0,,,,,,
1723543980,2024-08-13 12:13:00+0200,752.0,328.0,,,,,,
1723543920,2024-08-13 12:12:00+0200,752.0,328.0,,,,,,
1723543860,2024-08-13 12:11:00+0200,752.0,329.0,,,,,,
1723543800,2024-08-13 12:10:00+0200,399.0,214.0,5754.0,25.082,4.198,0.018,9.205,-77.0
1723543740,2024-08-13 12:09:00+0200,399.0,214.0,,,,,,
1723543680,2024-08-13 12:08:00+0200,399.0,214.0,,,,,,
1723543620,2024-08-13 12:07:00+0200,399.0,213.0,,,,,,
1723543560,2024-08-13 12:06:00+0200,399.0,213.0,,,,,,
1723543500,2024-08-13 12:05:00+0200,212.0,134.0,5736.0,25.082,4.198,0.019,9.205,-77.0
1723543440,2024-08-13 12:04:00+0200,259.0,153.0,,,,,,
1723543380,2024-08-13 12:03:00+0200,399.0,210.0,,,,,,
1723543320,2024-08-13 12:02:00+0200,399.0,212.0,,,,,,
1723543260,2024-08-13 12:01:00+0200,399.0,214.0,,,,,,
1723543200,2024-08-13 12:00:00+0200,212.0,130.0,5720.0,25.082,4.198,0.024,9.205,-77.0
1723543140,2024-08-13 11:59:00+0200,213.0,130.0,,,,,,
1723543080,2024-08-13 11:58:00+0200,213.0,131.0,,,,,,
1723543020,2024-08-13 11:57:00+0200,212.0,132.0,,,,,,
1723542960,2024-08-13 11:56:00+0200,212.0,134.0,,,,,,
1723542900,2024-08-13 11:55:00+0200,1707.0,513.0,5709.0,25.082,4.197,0.018,9.205,-79.0
1723542840,2024-08-13 11:54:00+0200,1706.0,513.0,,,,,,
1723542780,2024-08-13 11:53:00+0200,1706.0,513.0,,,,,,
1723542720,2024-08-13 11:52:00+0200,807.0,286.0,,,,,,
1723542660,2024-08-13 11:51:00+0200,212.0,129.0,,,,,,
1723542600,2024-08-13 11:50:00+0200,979.0,377.0,5678.0,25.082,4.197,0.018,9.207,-79.0
1723542540,2024-08-13 11:49:00+0200,1540.0,483.0,,,,,,
1723542480,2024-08-13 11:48:00+0200,1706.0,513.0,,,,,,
1723542420,2024-08-13 11:47:00+0200,1706.0,513.0,,,,,,
1723542360,2024-08-13 11:46:00+0200,1706.0,513.0,,,,,,
1723542300,2024-08-13 11:45:00+0200,979.0,377.0,5638.0,25.082,4.198,0.022,9.207,-79.0
1723542240,2024-08-13 11:44:00+0200,979.0,376.0,,,,,,
1723542180,2024-08-13 11:43:00+0200,979.0,377.0,,,,,,
1723542120,2024-08-13 11:42:00+0200,979.0,376.0,,,,,,
1723542060,2024-08-13 11:41:00+0200,980.0,376.0,,,,,,
1723542000,2024-08-13 11:40:00+0200,503.0,238.0,5606.0,25.082,4.198,0.017,9.207,-77.0
1723541940,2024-08-13 11:39:00+0200,503.0,239.0,,,,,,
1723541880,2024-08-13 11:38:00+0200,655.0,282.0,,,,,,
1723541820,2024-08-13 11:37:00+0200,979.0,376.0,,,,,,
1723541760,2024-08-13 11:36:00+0200,979.0,376.0,,,,,,
1723541700,2024-08-13 11:35:00+0200,503.0,239.0,5580.0,25.082,4.197,0.019,9.205,-77.0
1723541640,2024-08-13 11:34:00+0200,503.0,238.0,,,,,,
1723541580,2024-08-13 11:33:00+0200,503.0,238.0,,,,,,
1723541520,2024-08-13 11:32:00+0200,503.0,239.0,,,,,,
1723541460,2024-08-13 11:31:00+0200,503.0,239.0,,,,,,
1723541400,2024-08-13 11:30:00+0200,264.0,153.0,5560.0,25.082,4.198,0.023,9.205,-77.0
1723541340,2024-08-13 11:29:00+0200,264.0,153.0,,,,,,
1723541280,2024-08-13 11:28:00+0200,264.0,152.0,,,,,,
1723541220,2024-08-13 11:27:00+0200,264.0,152.0,,,,,,
1723541160,2024-08-13 11:26:00+0200,385.0,197.0,,,,,,
1723541100,2024-08-13 11:25:00+0200,264.0,153.0,5546.0,25.082,4.197,0.018,9.205,-77.0
1723541040,2024-08-13 11:24:00+0200,264.0,153.0,,,,,,
1723540980,2024-08-13 11:23:00+0200,264.0,154.0,,,,,,
1723540920,2024-08-13 11:22:00+0200,264.0,154.0,,,,,,
1723540860,2024-08-13 11:21:00+0200,264.0,153.0,,,,,,
1723540800,2024-08-13 11:20:00+0200,264.0,151.0,5534.0,25.082,4.197,0.018,9.207,-77.0
1723540740,2024-08-13 11:19:00+0200,264.0,152.0,,,,,,
1723540680,2024-08-13 11:18:00+0200,264.0,152.0,,,,,,
1723540620,2024-08-13 11:17:00+0200,264.0,152.0,,,,,,
1723540560,2024-08-13 11:16:00+0200,264.0,153.0,,,,,,
1723540500,2024-08-13 11:15:00+0200,2038.0,549.0,5521.0,25.082,4.198,0.022,9.205,-77.0
