UNIX Timestamp,Local Time,Pressure (Pa),Flow (lph),Gas Consumption (l),Temperature (°C),External Temperature (°C),Battery Voltage (V),Battery Current (A),Solar Voltage (V),RSSI (dB)
1724422200,2024-08-23 16:10:00+0200,2458.0,385.0,6633.0,25.082,,4.198,0.021,9.205,-77.0
1724422140,2024-08-23 16:09:00+0200,61.0,2.0,,,,,,,
1724422080,2024-08-23 16:08:00+0200,47.0,0.0,,,,,,,
1724422020,2024-08-23 16:07:00+0200,47.0,0.0,,,,,,,
1724421960,2024-08-23 16:06:00+0200,47.0,0.0,,,,,,,
1724421900,2024-08-23 16:05:00+0200,855.0,201.0,6630.0,25.492,,4.197,0.021,9.207,-77.0
1724421840,2024-08-23 16:04:00+0200,851.0,204.0,,,,,,,
1724421780,2024-08-23 16:03:00+0200,1267.0,250.0,,,,,,,
1724421720,2024-08-23 16:02:00+0200,2470.0,383.0,,,,,,,
1724421660,2024-08-23 16:01:00+0200,2483.0,387.0,,,,,,,
1724421600,2024-08-23 16:00:00+0200,2708.0,388.0,6604.0,25.492,,4.198,0.027,9.207,-77.0
1724421540,2024-08-23 15:59:00+0200,657.0,158.0,,,,,,,
1724421480,2024-08-23 15:58:00+0200,410.0,128.0,,,,,,,
1724421420,2024-08-23 15:57:00+0200,410.0,128.0,,,,,,,
1724421360,2024-08-23 15:56:00+0200,630.0,165.0,,,,,,,
1724421300,2024-08-23 15:55:00+0200,1119.0,231.0,6590.0,25.082,,4.198,0.021,9.207,-79.0
1724421240,2024-08-23 15:54:00+0200,1115.0,232.0,,,,,,,
1724421180,2024-08-23 15:53:00+0200,1314.0,253.0,,,,,,,
1724421120,2024-08-23 15:52:00+0200,2627.0,380.0,,,,,,,
1724421060,2024-08-23 15:51:00+0200,2688.0,385.0,,,,,,,
1724421000,2024-08-23 15:50:00+0200,3060.0,410.0,6564.0,25.492,,4.197,0.02,9.207,-79.0
1724420940,2024-08-23 15:49:00+0200,717.0,170.0,,,,,,,
1724420880,2024-08-23 15:48:00+0200,523.0,148.0,,,,,,,
1724420820,2024-08-23 15:47:00+0200,523.0,148.0,,,,,,,
1724420760,2024-08-23 15:46:00+0200,771.0,183.0,,,,,,,
1724420700,2024-08-23 15:45:00+0200,1269.0,247.0,6547.0,25.492,,4.198,0.026,9.207,-79.0
1724420640,2024-08-23 15:44:00+0200,1265.0,247.0,,,,,,,
1724420580,2024-08-23 15:43:00+0200,2212.0,334.0,,,,,,,
1724420520,2024-08-23 15:42:00+0200,3026.0,407.0,,,,,,,
1724420460,2024-08-23 15:41:00+0200,3049.0,409.0,,,,,,,
1724420400,2024-08-23 15:40:00+0200,2431.0,335.0,6518.0,25.492,,4.198,0.021,9.205,-77.0
1724420340,2024-08-23 15:39:00+0200,586.0,157.0,,,,,,,
1724420280,2024-08-23 15:38:00+0200,586.0,157.0,,,,,,,
1724420220,2024-08-23 15:37:00+0200,586.0,158.0,,,,,,,
1724420160,2024-08-23 15:36:00+0200,1152.0,231.0,,,,,,,
1724420100,2024-08-23 15:35:00+0200,1405.0,265.0,6503.0,25.082,,4.198,0.022,9.207,-77.0
1724420040,2024-08-23 15:34:00+0200,1405.0,264.0,,,,,,,
1724419980,2024-08-23 15:33:00+0200,2666.0,365.0,,,,,,,
1724419920,2024-08-23 15:32:00+0200,3414.0,425.0,,,,,,,
1724419860,2024-08-23 15:31:00+0200,3417.0,426.0,,,,,,,
1724419800,2024-08-23 15:30:00+0200,2221.0,314.0,6472.0,25.492,,4.198,0.026,9.205,-77.0
1724419740,2024-08-23 15:29:00+0200,643.0,168.0,,,,,,,
1724419680,2024-08-23 15:28:00+0200,638.0,168.0,,,,,,,
1724419620,2024-08-23 15:27:00+0200,638.0,169.0,,,,,,,
1724419560,2024-08-23 15:26:00+0200,1305.0,252.0,,,,,,,
1724419500,2024-08-23 15:25:00+0200,1623.0,279.0,6455.0,25.492,,4.198,0.021,9.207,-75.0
1724419440,2024-08-23 15:24:00+0200,1618.0,283.0,,,,,,,
1724419380,2024-08-23 15:23:00+0200,3488.0,422.0,,,,,,,
1724419320,2024-08-23 15:22:00+0200,3600.0,432.0,,,,,,,
1724419260,2024-08-23 15:21:00+0200,3500.0,426.0,,,,,,,
1724419200,2024-08-23 15:20:00+0200,509.0,159.0,6423.0,25.082,,4.197,0.022,9.207,-75.0
1724419140,2024-08-23 15:19:00+0200,688.0,190.0,,,,,,,
1724419080,2024-08-23 15:18:00+0200,700.0,187.0,,,,,,,
1724419020,2024-08-23 15:17:00+0200,854.0,198.0,,,,,,,
1724418960,2024-08-23 15:16:00+0200,1617.0,280.0,,,,,,,
1724418900,2024-08-23 15:15:00+0200,1037.0,226.0,6405.0,25.082,,4.198,0.026,9.205,-75.0
1724418840,2024-08-23 15:14:00+0200,2931.0,426.0,,,,,,,
1724418780,2024-08-23 15:13:00+0200,2934.0,429.0,,,,,,,
1724418720,2024-08-23 15:12:00+0200,2931.0,430.0,,,,,,,
1724418660,2024-08-23 15:11:00+0200,1676.0,267.0,,,,,,,
1724418600,2024-08-23 15:10:00+0200,402.0,129.0,6376.0,25.082,,4.198,0.021,9.207,-79.0
1724418540,2024-08-23 15:09:00+0200,389.0,128.0,,,,,,,
1724418480,2024-08-23 15:08:00+0200,585.0,160.0,,,,,,,
1724418420,2024-08-23 15:07:00+0200,834.0,201.0,,,,,,,
1724418360,2024-08-23 15:06:00+0200,835.0,204.0,,,,,,,
1724418300,2024-08-23 15:05:00+0200,1651.0,281.0,6362.0,25.492,,4.198,0.021,9.205,-79.0
1724418240,2024-08-23 15:04:00+0200,3833.0,469.0,,,,,,,
1724418180,2024-08-23 15:03:00+0200,3826.0,469.0,,,,,,,
1724418120,2024-08-23 15:02:00+0200,3821.0,469.0,,,,,,,
1724418060,2024-08-23 15:01:00+0200,832.0,174.0,,,,,,,
1724418000,2024-08-23 15:00:00+0200,503.0,150.0,6331.0,25.492,,4.198,0.026,9.205,-79.0
1724417940,2024-08-23 14:59:00+0200,727.0,180.0,,,,,,,
1724417880,2024-08-23 14:58:00+0200,1111.0,233.0,,,,,,,
1724417820,2024-08-23 14:57:00+0200,1113.0,234.0,,,,,,,
1724417760,2024-08-23 14:56:00+0200,1113.0,234.0,,,,,,,
1724417700,2024-08-23 14:55:00+0200,4402.0,493.0,6313.0,25.492,,4.198,0.021,9.205,-79.0
1724417640,2024-08-23 14:54:00+0200,2954.0,368.0,,,,,,,
1724417580,2024-08-23 14:53:00+0200,506.0,149.0,,,,,,,
1724417520,2024-08-23 14:52:00+0200,507.0,149.0,,,,,,,
1724417460,2024-08-23 14:51:00+0200,503.0,149.0,,,,,,,
1724417400,2024-08-23 14:50:00+0200,1271.0,250.0,6294.0,25.492,,4.198,0.022,9.207,-79.0
1724417340,2024-08-23 14:49:00+0200,1274.0,251.0,,,,,,,
1724417280,2024-08-23 14:48:00+0200,1617.0,279.0,,,,,,,
1724417220,2024-08-23 14:47:00+0200,4403.0,492.0,,,,,,,
1724417160,2024-08-23 14:46:00+0200,4397.0,493.0,,,,,,,
1724417100,2024-08-23 14:45:00+0200,445.0,137.0,6263.0,25.492,,4.198,0.027,9.205,-79.0
1724417040,2024-08-23 14:44:00+0200,524.0,150.0,,,,,,,
1724416980,2024-08-23 14:43:00+0200,586.0,160.0,,,,,,,
1724416920,2024-08-23 14:42:00+0200,574.0,158.0,,,,,,,
1724416860,2024-08-23 14:41:00+0200,1068.0,222.0,,,,,,,
1724416800,2024-08-23 14:40:00+0200,4488.0,489.0,6248.0,25.492,,4.198,0.022,9.205,-79.0
1724416740,2024-08-23 14:39:00+0200,2509.0,319.0,,,,,,,
1724416680,2024-08-23 14:38:00+0200,450.0,138.0,,,,,,,
1724416620,2024-08-23 14:37:00+0200,448.0,137.0,,,,,,,
1724416560,2024-08-23 14:36:00+0200,445.0,137.0,,,,,,,
