UNIX Timestamp,Local Time,Pressure (Pa),Flow (lph),Gas Consumption (l),Temperature (°C),Battery Voltage (V),Battery Current (A),Solar Voltage (V),RSSI (dB)
1718885700,2024-06-20 14:15:00+0200,45.0,0.0,3032.0,25.902,4.195,0.029,9.202,-89.0
1718885640,2024-06-20 14:14:00+0200,42.0,0.0,,,,,,
1718885580,2024-06-20 14:13:00+0200,44.0,0.0,,,,,,
1718885520,2024-06-20 14:12:00+0200,42.0,0.0,,,,,,
1718885460,2024-06-20 14:11:00+0200,42.0,0.0,,,,,,
1718885400,2024-06-20 14:10:00+0200,42.0,0.0,3032.0,25.902,4.196,0.02,9.202,-91.0
1718885340,2024-06-20 14:09:00+0200,44.0,0.0,,,,,,
1718885280,2024-06-20 14:08:00+0200,44.0,0.0,,,,,,
1718885220,2024-06-20 14:07:00+0200,43.0,0.0,,,,,,
1718885160,2024-06-20 14:06:00+0200,44.0,0.0,,,,,,
1718885100,2024-06-20 14:05:00+0200,43.0,0.0,3032.0,25.902,4.195,0.021,9.202,-91.0
1718885040,2024-06-20 14:04:00+0200,45.0,0.0,,,,,,
1718884980,2024-06-20 14:03:00+0200,44.0,0.0,,,,,,
1718884920,2024-06-20 14:02:00+0200,44.0,0.0,,,,,,
1718884860,2024-06-20 14:01:00+0200,43.0,0.0,,,,,,
1718884800,2024-06-20 14:00:00+0200,43.0,0.0,3032.0,25.902,4.195,0.03,9.202,-91.0
1718884740,2024-06-20 13:59:00+0200,43.0,0.0,,,,,,
1718884680,2024-06-20 13:58:00+0200,44.0,0.0,,,,,,
1718884620,2024-06-20 13:57:00+0200,44.0,0.0,,,,,,
1718884560,2024-06-20 13:56:00+0200,42.0,0.0,,,,,,
1718884500,2024-06-20 13:55:00+0200,45.0,0.0,3032.0,25.902,4.194,0.022,9.202,-93.0
1718884440,2024-06-20 13:54:00+0200,42.0,0.0,,,,,,
1718884380,2024-06-20 13:53:00+0200,45.0,0.0,,,,,,
1718884320,2024-06-20 13:52:00+0200,42.0,0.0,,,,,,
1718884260,2024-06-20 13:51:00+0200,45.0,0.0,,,,,,
1718884200,2024-06-20 13:50:00+0200,43.0,0.0,3032.0,25.902,4.199,0.02,9.21,-93.0
1718884140,2024-06-20 13:49:00+0200,45.0,0.0,,,,,,
1718884080,2024-06-20 13:48:00+0200,42.0,0.0,,,,,,
1718884020,2024-06-20 13:47:00+0200,44.0,0.0,,,,,,
1718883960,2024-06-20 13:46:00+0200,42.0,0.0,,,,,,
1718883900,2024-06-20 13:45:00+0200,43.0,0.0,3032.0,25.902,4.193,0.03,9.199,-93.0
1718883840,2024-06-20 13:44:00+0200,43.0,0.0,,,,,,
1718883780,2024-06-20 13:43:00+0200,42.0,0.0,,,,,,
1718883720,2024-06-20 13:42:00+0200,41.0,0.0,,,,,,
1718883660,2024-06-20 13:41:00+0200,39.0,0.0,,,,,,
1718883600,2024-06-20 13:40:00+0200,43.0,0.0,3032.0,25.902,4.196,0.022,9.202,-83.0
1718883540,2024-06-20 13:39:00+0200,42.0,0.0,,,,,,
1718883480,2024-06-20 13:38:00+0200,44.0,0.0,,,,,,
1718883420,2024-06-20 13:37:00+0200,43.0,0.0,,,,,,
1718883360,2024-06-20 13:36:00+0200,43.0,0.0,,,,,,
1718883300,2024-06-20 13:35:00+0200,40.0,0.0,,25.902,4.196,0.019,9.202,-83.0
1718883000,2024-06-20 13:30:00+0200,32.0,0.0,3032.0,26.311,4.195,0.057,9.202,-83.0
1718882940,2024-06-20 13:29:00+0200,32.0,0.0,,,,,,
1718882880,2024-06-20 13:28:00+0200,32.0,0.0,,,,,,
1718882820,2024-06-20 13:27:00+0200,33.0,0.0,,,,,,
1718882760,2024-06-20 13:26:00+0200,39.0,0.0,,,,,,
1718882700,2024-06-20 13:25:00+0200,43.0,0.0,3032.0,25.902,4.199,0.019,9.21,-79.0
1718882640,2024-06-20 13:24:00+0200,43.0,0.0,,,,,,
1718882580,2024-06-20 13:23:00+0200,42.0,0.0,,,,,,
1718882520,2024-06-20 13:22:00+0200,41.0,0.0,,,,,,
1718882460,2024-06-20 13:21:00+0200,38.0,0.0,,,,,,
1718882400,2024-06-20 13:20:00+0200,37.0,0.0,3032.0,25.902,4.195,0.019,9.202,-79.0
1718882340,2024-06-20 13:19:00+0200,34.0,0.0,,,,,,
1718882280,2024-06-20 13:18:00+0200,33.0,0.0,,,,,,
1718882220,2024-06-20 13:17:00+0200,33.0,0.0,,,,,,
1718882160,2024-06-20 13:16:00+0200,32.0,0.0,,,,,,
1718882100,2024-06-20 13:15:00+0200,33.0,0.0,3032.0,26.311,4.196,0.038,9.202,-79.0
1718882040,2024-06-20 13:14:00+0200,32.0,0.0,,,,,,
1718881980,2024-06-20 13:13:00+0200,32.0,0.0,,,,,,
1718881920,2024-06-20 13:12:00+0200,32.0,0.0,,,,,,
1718881860,2024-06-20 13:11:00+0200,32.0,0.0,,,,,,
1718881800,2024-06-20 13:10:00+0200,32.0,0.0,,,,,,
1718881799,2024-06-20 13:09:59+0200,32.0,0.0,3032.0,26.721,4.196,0.08,9.202,-87.0
1718881739,2024-06-20 13:08:59+0200,32.0,0.0,,,,,,
1718881679,2024-06-20 13:07:59+0200,30.0,0.0,,,,,,
1718881619,2024-06-20 13:06:59+0200,30.0,0.0,,,,,,
1718881559,2024-06-20 13:05:59+0200,25.0,0.0,,,,,,
1718881500,2024-06-20 13:05:00+0200,20.0,0.0,3032.0,27.541,4.194,0.105,9.202,-93.0
1718881440,2024-06-20 13:04:00+0200,18.0,0.0,,,,,,
1718881380,2024-06-20 13:03:00+0200,48.0,6.0,,,,,,
1718881320,2024-06-20 13:02:00+0200,20.0,0.0,,,,,,
1718881260,2024-06-20 13:01:00+0200,22.0,0.0,,,,,,
1718881200,2024-06-20 13:00:00+0200,21.0,0.0,3032.0,27.131,4.149,0.096,9.119,-93.0
1718881140,2024-06-20 12:59:00+0200,85.0,43.0,,,,,,
1718881080,2024-06-20 12:58:00+0200,217.0,137.0,,,,,,
1718881020,2024-06-20 12:57:00+0200,220.0,138.0,,,,,,
1718880960,2024-06-20 12:56:00+0200,221.0,140.0,,,,,,
1718880900,2024-06-20 12:55:00+0200,219.0,140.0,3026.0,25.902,4.196,0.021,9.202,-91.0
1718880840,2024-06-20 12:54:00+0200,150.0,88.0,,,,,,
1718880780,2024-06-20 12:53:00+0200,21.0,0.0,,,,,,
1718880720,2024-06-20 12:52:00+0200,24.0,0.0,,,,,,
1718880660,2024-06-20 12:51:00+0200,608.0,201.0,,,,,,
1718880600,2024-06-20 12:50:00+0200,1482.0,494.0,3020.0,25.902,4.196,0.019,9.202,-91.0
1718880540,2024-06-20 12:49:00+0200,1484.0,494.0,,,,,,
1718880480,2024-06-20 12:48:00+0200,1485.0,493.0,,,,,,
1718880420,2024-06-20 12:47:00+0200,1483.0,488.0,,,,,,
1718880360,2024-06-20 12:46:00+0200,1049.0,338.0,,,,,,
1718880300,2024-06-20 12:45:00+0200,37.0,0.0,2984.0,25.902,4.196,0.03,9.202,-91.0
1718880240,2024-06-20 12:44:00+0200,44.0,0.0,,,,,,
1718880180,2024-06-20 12:43:00+0200,541.0,153.0,,,,,,
1718880120,2024-06-20 12:42:00+0200,1826.0,530.0,,,,,,
1718880060,2024-06-20 12:41:00+0200,1826.0,530.0,,,,,,
1718880000,2024-06-20 12:40:00+0200,1826.0,530.0,2966.0,25.902,4.195,0.019,9.199,-93.0
1718879940,2024-06-20 12:39:00+0200,1826.0,527.0,,,,,,
1718879880,2024-06-20 12:38:00+0200,1274.0,364.0,,,,,,
1718879820,2024-06-20 12:37:00+0200,46.0,0.0,,,,,,
1718879760,2024-06-20 12:36:00+0200,47.0,0.0,,,,,,
1718879700,2024-06-20 12:35:00+0200,682.0,176.0,2935.0,25.902,4.195,0.019,9.202,-93.0
1718879640,2024-06-20 12:34:00+0200,2144.0,559.0,,,,,,
1718879580,2024-06-20 12:33:00+0200,2144.0,559.0,,,,,,
1718879520,2024-06-20 12:32:00+0200,2125.0,559.0,,,,,,
1718879460,2024-06-20 12:31:00+0200,2125.0,557.0,,,,,,
1718879400,2024-06-20 12:30:00+0200,1480.0,388.0,2903.0,25.902,4.196,0.041,9.202,-93.0
1718879340,2024-06-20 12:29:00+0200,32.0,0.0,,,,,,
1718879280,2024-06-20 12:28:00+0200,33.0,0.0,,,,,,
1718879220,2024-06-20 12:27:00+0200,645.0,152.0,,,,,,
1718879160,2024-06-20 12:26:00+0200,2410.0,583.0,,,,,,
1718879100,2024-06-20 12:25:00+0200,2411.0,583.0,2884.0,25.902,4.196,0.018,9.204,-93.0
1718879040,2024-06-20 12:24:00+0200,2411.0,583.0,,,,,,
1718878980,2024-06-20 12:23:00+0200,2410.0,584.0,,,,,,
1718878920,2024-06-20 12:22:00+0200,1668.0,441.0,,,,,,
1718878860,2024-06-20 12:21:00+0200,21.0,0.0,,,,,,
1718878800,2024-06-20 12:20:00+0200,21.0,0.0,2839.0,25.902,4.195,0.019,9.202,-93.0
1718878740,2024-06-20 12:19:00+0200,208.0,78.0,,,,,,
1718878680,2024-06-20 12:18:00+0200,862.0,361.0,,,,,,
1718878620,2024-06-20 12:17:00+0200,861.0,361.0,,,,,,
1718878560,2024-06-20 12:16:00+0200,861.0,360.0,,,,,,
1718878500,2024-06-20 12:15:00+0200,860.0,353.0,2825.0,25.902,4.196,0.05,9.202,-93.0
1718878440,2024-06-20 12:14:00+0200,673.0,273.0,,,,,,
1718878380,2024-06-20 12:13:00+0200,23.0,0.0,,,,,,
1718878320,2024-06-20 12:12:00+0200,27.0,0.0,,,,,,
1718878260,2024-06-20 12:11:00+0200,240.0,86.0,,,,,,
1718878200,2024-06-20 12:10:00+0200,995.0,388.0,2809.0,25.492,4.2,0.019,9.21,-89.0
1718878140,2024-06-20 12:09:00+0200,998.0,387.0,,,,,,
1718878080,2024-06-20 12:08:00+0200,996.0,386.0,,,,,,
1718878020,2024-06-20 12:07:00+0200,998.0,383.0,,,,,,
1718877960,2024-06-20 12:06:00+0200,810.0,307.0,,,,,,
1718877900,2024-06-20 12:05:00+0200,33.0,0.0,2781.0,25.492,4.2,0.02,9.21,-89.0
1718877840,2024-06-20 12:04:00+0200,32.0,0.0,,,,,,
1718877780,2024-06-20 12:03:00+0200,239.0,77.0,,,,,,
1718877720,2024-06-20 12:02:00+0200,1164.0,414.0,,,,,,
1718877660,2024-06-20 12:01:00+0200,1165.0,414.0,,,,,,
1718877600,2024-06-20 12:00:00+0200,1175.0,415.0,2767.0,25.492,4.195,0.028,9.202,-89.0
1718877540,2024-06-20 11:59:00+0200,1171.0,416.0,,,,,,
1718877480,2024-06-20 11:58:00+0200,941.0,349.0,,,,,,
1718877420,2024-06-20 11:57:00+0200,32.0,0.0,,,,,,
1718877360,2024-06-20 11:56:00+0200,34.0,0.0,,,,,,
1718877300,2024-06-20 11:55:00+0200,97.0,34.0,2742.0,25.492,4.199,0.022,9.21,-93.0
1718877240,2024-06-20 11:54:00+0200,449.0,230.0,,,,,,
1718877180,2024-06-20 11:53:00+0200,450.0,228.0,,,,,,
1718877120,2024-06-20 11:52:00+0200,448.0,225.0,,,,,,
1718877060,2024-06-20 11:51:00+0200,449.0,223.0,,,,,,
1718877000,2024-06-20 11:50:00+0200,391.0,190.0,2729.0,25.492,4.199,0.022,9.21,-93.0
1718876940,2024-06-20 11:49:00+0200,42.0,0.0,,,,,,
1718876880,2024-06-20 11:48:00+0200,39.0,0.0,,,,,,
1718876820,2024-06-20 11:47:00+0200,251.0,74.0,,,,,,
1718876760,2024-06-20 11:46:00+0200,1348.0,434.0,,,,,,
1718876700,2024-06-20 11:45:00+0200,1355.0,434.0,2721.0,25.492,4.195,0.034,9.202,-93.0
1718876640,2024-06-20 11:44:00+0200,1354.0,435.0,,,,,,
1718876580,2024-06-20 11:43:00+0200,1351.0,436.0,,,,,,
1718876520,2024-06-20 11:42:00+0200,1124.0,377.0,,,,,,
1718876460,2024-06-20 11:41:00+0200,42.0,0.0,,,,,,
1718876400,2024-06-20 11:40:00+0200,46.0,0.0,2687.0,25.492,4.2,0.02,9.21,-91.0
1718876340,2024-06-20 11:39:00+0200,102.0,32.0,,,,,,
1718876280,2024-06-20 11:38:00+0200,512.0,245.0,,,,,,
1718876220,2024-06-20 11:37:00+0200,503.0,244.0,,,,,,
1718876160,2024-06-20 11:36:00+0200,501.0,243.0,,,,,,
1718876100,2024-06-20 11:35:00+0200,500.0,243.0,2677.0,25.492,4.196,0.02,9.202,-91.0
