UNIX Timestamp,Local Time,Pressure (Pa),Flow (lph),Gas Consumption (l),Temperature (°C),Battery Voltage (V),Battery Current (A),Solar Voltage (V),RSSI (dB)
1717657200,2024-06-06 09:00:00+0200,33.0,0.0,1743.0,24.672,4.195,0.024,9.202,-81.0
1717657140,2024-06-06 08:59:00+0200,35.0,0.0,,,,,,
1717657080,2024-06-06 08:58:00+0200,843.0,248.0,,,,,,
1717657020,2024-06-06 08:57:00+0200,1889.0,562.0,,,,,,
1717656960,2024-06-06 08:56:00+0200,1888.0,556.0,,,,,,
1717656900,2024-06-06 08:55:00+0200,2157.0,578.0,1721.0,24.672,4.199,0.022,9.21,-81.0
1717656840,2024-06-06 08:54:00+0200,2304.0,599.0,,,,,,
1717656780,2024-06-06 08:53:00+0200,2302.0,594.0,,,,,,
1717656720,2024-06-06 08:52:00+0200,2581.0,615.0,,,,,,
1717656660,2024-06-06 08:51:00+0200,2692.0,629.0,,,,,,
1717656600,2024-06-06 08:50:00+0200,2689.0,626.0,1670.0,25.492,4.194,0.03,9.202,-81.0
1717656540,2024-06-06 08:49:00+0200,2923.0,639.0,,,,,,
1717656480,2024-06-06 08:48:00+0200,3036.0,655.0,,,,,,
1717656420,2024-06-06 08:47:00+0200,3035.0,656.0,,,,,,
1717656360,2024-06-06 08:46:00+0200,2129.0,583.0,,,,,,
1717656300,2024-06-06 08:45:00+0200,1472.0,486.0,1618.0,25.902,4.196,0.066,9.202,-89.0
1717656240,2024-06-06 08:44:00+0200,1698.0,511.0,,,,,,
1717656180,2024-06-06 08:43:00+0200,1803.0,528.0,,,,,,
1717656120,2024-06-06 08:42:00+0200,1803.0,524.0,,,,,,
1717656060,2024-06-06 08:41:00+0200,1982.0,538.0,,,,,,
1717656000,2024-06-06 08:40:00+0200,2124.0,558.0,1575.0,26.721,4.194,0.087,9.199,-89.0
1717655940,2024-06-06 08:39:00+0200,2123.0,552.0,,,,,,
1717655880,2024-06-06 08:38:00+0200,2319.0,570.0,,,,,,
1717655820,2024-06-06 08:37:00+0200,2402.0,584.0,,,,,,
1717655760,2024-06-06 08:36:00+0200,2403.0,586.0,,,,,,
1717655700,2024-06-06 08:35:00+0200,1714.0,521.0,1528.0,27.131,4.148,0.139,9.103,-89.0
1717655640,2024-06-06 08:34:00+0200,1106.0,425.0,,,,,,
1717655580,2024-06-06 08:33:00+0200,1109.0,419.0,,,,,,
1717655520,2024-06-06 08:32:00+0200,1276.0,440.0,,,,,,
1717655460,2024-06-06 08:31:00+0200,1390.0,456.0,,,,,,
1717655400,2024-06-06 08:30:00+0200,1388.0,450.0,1488.0,24.672,4.194,0.027,9.196,-79.0
1717655340,2024-06-06 08:29:00+0200,1555.0,475.0,,,,,,
1717655280,2024-06-06 08:28:00+0200,1628.0,488.0,,,,,,
1717655220,2024-06-06 08:27:00+0200,1628.0,484.0,,,,,,
1717655160,2024-06-06 08:26:00+0200,1767.0,498.0,,,,,,
1717655100,2024-06-06 08:25:00+0200,1846.0,508.0,1449.0,24.672,4.199,0.03,9.21,-79.0
1717655040,2024-06-06 08:24:00+0200,1847.0,517.0,,,,,,
1717654980,2024-06-06 08:23:00+0200,841.0,259.0,,,,,,
1717654920,2024-06-06 08:22:00+0200,33.0,0.0,,,,,,
1717654860,2024-06-06 08:21:00+0200,34.0,0.0,,,,,,
1717654800,2024-06-06 08:20:00+0200,877.0,259.0,1420.0,24.672,4.195,0.03,9.202,-79.0
1717654740,2024-06-06 08:19:00+0200,1887.0,562.0,,,,,,
1717654680,2024-06-06 08:18:00+0200,1886.0,555.0,,,,,,
1717654620,2024-06-06 08:17:00+0200,2159.0,578.0,,,,,,
1717654560,2024-06-06 08:16:00+0200,2304.0,598.0,,,,,,
1717654500,2024-06-06 08:15:00+0200,2304.0,593.0,1386.0,24.672,4.194,0.025,9.202,-79.0
1717654440,2024-06-06 08:14:00+0200,2591.0,615.0,,,,,,
1717654380,2024-06-06 08:13:00+0200,2695.0,628.0,,,,,,
1717654320,2024-06-06 08:12:00+0200,2697.0,626.0,,,,,,
1717654260,2024-06-06 08:11:00+0200,2905.0,635.0,,,,,,
1717654200,2024-06-06 08:10:00+0200,3043.0,655.0,1335.0,24.672,4.199,0.023,9.21,-79.0
1717654140,2024-06-06 08:09:00+0200,3038.0,655.0,,,,,,
1717654080,2024-06-06 08:08:00+0200,2267.0,596.0,,,,,,
1717654020,2024-06-06 08:07:00+0200,1483.0,493.0,,,,,,
1717653960,2024-06-06 08:06:00+0200,1482.0,487.0,,,,,,
1717653900,2024-06-06 08:05:00+0200,1685.0,507.0,1284.0,25.082,4.188,0.077,9.183,-79.0
1717653840,2024-06-06 08:04:00+0200,1812.0,528.0,,,,,,
